,County,People 1 Mile and More,People 1/2 Mile and More,People 10 Miles and More,People 20 Miles and More,Population,State,Civilian labour force,Employed poulation,Rate of Unemployment,Unemployed population
130,Barnes,1139.785917,1974.453798,749.4368655000001,205.142804,11066,ND,5647.0,5466.0,3.0,181.0
131,Barnstable,22765.10254,34029.54085,0.0,0.0,215888,MA,111567.0,104763.0,6.0,6804.0
132,Barnwell,7317.949812999999,9106.964340999999,3.1543610980000003,0.0,22621,SC,8377.0,7625.0,9.0,752.0
133,Barren,10322.20097,13181.4783,853.4648419,0.0,42173,KY,18393.0,17439.0,5.0,954.0
134,Barron,9441.940356000001,13181.68658,556.0766546,0.0,45870,WI,24478.0,23258.0,5.0,1220.0
135,Barrow,15723.9728,20101.48532,0.0,0.0,69367,GA,36122.0,34224.0,5.0,1898.0
136,Barry,12508.04158,14652.18571,5.662242968999999,0.0,59173,MI,30170.0,28874.0,4.0,1296.0
137,Barry,11009.91798,13891.808630000001,94.36508611,0.0,35597,MO,14918.0,14171.0,5.0,747.0
138,Bartholomew,10434.42388,17874.746740000002,261.274206,0.0,76794,IN,43580.0,42004.0,4.0,1576.0
139,Barton,4035.619154,7264.226318999999,688.0754212,0.0,27674,KS,14591.0,13976.0,4.0,615.0
140,Barton,3383.2062159999996,4672.370686,723.7162011,0.0,12402,MO,5329.0,5040.0,5.0,289.0
141,Bartow,25874.47335,31342.248330000002,0.0,0.0,100157,GA,46858.0,44103.0,6.0,2755.0
142,Bastrop,25815.999480000002,26963.53053,7260.658961,0.0,74171,TX,37507.0,36053.0,4.0,1454.0
143,Bates,3358.0040000000004,5631.836969,210.28655919999997,0.0,17049,MO,8154.0,7658.0,6.0,496.0
144,Bath,5599.044040999999,5885.392796,8.075243796,0.0,11591,KY,4713.0,4352.0,8.0,361.0
145,Bath,1227.65852,1302.053588,198.9485535,0.0,4731,VA,2536.0,2433.0,4.0,103.0
146,Baxter,12452.0919,15923.49724,480.5990693,0.0,41513,AR,16217.0,15329.0,6.0,888.0
147,Bay,21995.918569999998,40360.921460000005,2401.5307989999997,0.0,168852,FL,87546.0,82751.0,6.0,4795.0
148,Bay,14293.89581,27193.904789999997,23.87689481,0.0,107771,MI,52117.0,49111.0,6.0,3006.0
149,Bayfield,3998.869396,4399.86319,1185.020457,10.5006803,15014,WI,7535.0,6909.0,8.0,626.0
150,Baylor,423.57179979999995,1024.128134,89.62388107,0.010834625,3726,TX,1625.0,1568.0,4.0,57.0
151,Beadle,2151.040509,4650.855699000001,811.6794346,50.88626065,17398,SD,9452.0,9202.0,3.0,250.0
152,Beaufort,11706.92504,15869.940540000001,569.6404129,0.0,47759,NC,20117.0,18791.0,7.0,1326.0
153,Beaufort,29965.967389999998,41101.05044,172.56251559999998,0.0,162233,SC,71661.0,67748.0,6.0,3913.0
154,Beauregard,9913.069997,11486.80167,4444.00835,0.0,35654,LA,15218.0,14253.0,6.0,965.0
155,Beaver,1195.347929,1619.535439,654.6267738,32.97530554,5636,OK,3023.0,2941.0,3.0,82.0
156,Beaver,31436.77539,41602.696560000004,0.0,0.0,170539,PA,85780.0,80594.0,6.0,5186.0
157,Beaver,751.3654994,1473.330943,321.0637722,0.0,6629,UT,3123.0,3005.0,4.0,118.0
158,Beaverhead,1877.9775969999998,2494.03905,697.5710774,598.8802792,9246,MT,4973.0,4802.0,3.0,171.0
159,Becker,8510.725557,9878.992149,3983.445309,203.6052769,32504,MN,18399.0,17597.0,4.0,802.0
160,Beckham,3071.064782,6261.063503,140.67834150000002,0.0,22119,OK,12210.0,11587.0,5.0,623.0
161,Bedford,14680.29501,16581.89138,1829.1835350000001,0.0,49762,PA,24125.0,22660.0,6.0,1465.0
162,Bedford,11554.94135,15729.14086,313.83892230000004,0.0,45058,TN,19375.0,18127.0,6.0,1248.0
163,Bedford,15356.733080000002,16315.568469999998,307.7221818,0.0,68676,VA,38228.0,36531.0,4.0,1697.0
164,Bee,5804.828019,10151.98393,1703.1728879999998,0.0,31861,TX,10373.0,9732.0,6.0,641.0
165,Belknap,10762.747309999999,13136.36358,0.0,0.0,60088,NH,31461.0,30413.0,3.0,1048.0
166,Bell,12546.86295,15170.79241,861.3507766000001,0.0,28691,KY,8815.0,8068.0,9.0,747.0
167,Bell,63512.6027,91938.87743,1646.839735,0.0,310235,TX,136155.0,129832.0,5.0,6323.0
