,Civilian labour force,County,Employed poulation,Rate of Unemployment,State,Unemployed population
247,5142.0,Trinity,4742.0,8.0,CA,400.0
248,204111.0,Tulare,180569.0,12.0,CA,23542.0
249,21578.0,Tuolumne,20058.0,7.0,CA,1520.0
250,428437.0,Ventura,404239.0,6.0,CA,24198.0
251,104706.0,Yolo,97963.0,6.0,CA,6743.0
252,27881.0,Yuba,25301.0,9.0,CA,2580.0
254,247717.0,Adams,236940.0,4.0,CO,10777.0
255,7649.0,Alamosa,7254.0,5.0,CO,395.0
256,334230.0,Arapahoe,321794.0,4.0,CO,12436.0
257,6010.0,Archuleta,5767.0,4.0,CO,243.0
258,1969.0,Baca,1929.0,2.0,CO,40.0
259,1731.0,Bent,1663.0,4.0,CO,68.0
260,176707.0,Boulder,171102.0,3.0,CO,5605.0
261,35527.0,Broomfield,34353.0,3.0,CO,1174.0
262,8491.0,Chaffee,8201.0,3.0,CO,290.0
263,1010.0,Cheyenne,983.0,3.0,CO,27.0
264,5542.0,Clear,5339.0,4.0,CO,203.0
265,3597.0,Conejos,3392.0,6.0,CO,205.0
266,1622.0,Costilla,1518.0,6.0,CO,104.0
267,1353.0,Crowley,1293.0,4.0,CO,60.0
268,1988.0,Custer,1918.0,4.0,CO,70.0
269,13438.0,Delta,12670.0,6.0,CO,768.0
270,375443.0,Denver,361592.0,4.0,CO,13851.0
271,1322.0,Dolores,1281.0,3.0,CO,41.0
272,172093.0,Douglas,166762.0,3.0,CO,5331.0
273,32734.0,Eagle,31707.0,3.0,CO,1027.0
274,13256.0,Elbert,12839.0,3.0,CO,417.0
275,307567.0,El,293453.0,5.0,CO,14114.0
276,14497.0,Fremont,13602.0,6.0,CO,895.0
277,30458.0,Garfield,29194.0,4.0,CO,1264.0
278,3397.0,Gilpin,3291.0,3.0,CO,106.0
279,9051.0,Grand,8759.0,3.0,CO,292.0
280,9787.0,Gunnison,9498.0,3.0,CO,289.0
281,440.0,Hinsdale,427.0,3.0,CO,13.0
282,2369.0,Huerfano,2186.0,8.0,CO,183.0
283,834.0,Jackson,803.0,4.0,CO,31.0
284,308750.0,Jefferson,297859.0,4.0,CO,10891.0
285,791.0,Kiowa,770.0,3.0,CO,21.0
286,4319.0,Kit,4215.0,2.0,CO,104.0
287,4566.0,Lake,4389.0,4.0,CO,177.0
288,29848.0,La,28819.0,3.0,CO,1029.0
289,180520.0,Larimer,174549.0,3.0,CO,5971.0
290,6126.0,Las,5782.0,6.0,CO,344.0
291,2169.0,Lincoln,2095.0,3.0,CO,74.0
292,10928.0,Logan,10595.0,3.0,CO,333.0
293,71779.0,Mesa,67806.0,6.0,CO,3973.0
294,445.0,Mineral,429.0,4.0,CO,16.0
295,7104.0,Moffat,6781.0,5.0,CO,323.0
296,12335.0,Montezuma,11634.0,6.0,CO,701.0
297,19321.0,Montrose,18346.0,5.0,CO,975.0
298,14663.0,Morgan,14106.0,4.0,CO,557.0
299,7880.0,Otero,7423.0,6.0,CO,457.0
300,2153.0,Ouray,2060.0,4.0,CO,93.0
301,9365.0,Park,9043.0,3.0,CO,322.0
302,2356.0,Phillips,2300.0,2.0,CO,56.0
303,10734.0,Pitkin,10319.0,4.0,CO,415.0
304,5811.0,Prowers,5576.0,4.0,CO,235.0
305,71679.0,Pueblo,67632.0,6.0,CO,4047.0
306,2805.0,Rio,2658.0,5.0,CO,147.0
307,4865.0,Rio,4558.0,6.0,CO,307.0
308,14274.0,Routt,13810.0,3.0,CO,464.0
309,3077.0,Saguache,2888.0,6.0,CO,189.0
310,470.0,San,450.0,4.0,CO,20.0
311,5071.0,San,4879.0,4.0,CO,192.0
312,1146.0,Sedgwick,1107.0,3.0,CO,39.0
313,20553.0,Summit,20034.0,3.0,CO,519.0
314,11400.0,Teller,10892.0,5.0,CO,508.0
315,2783.0,Washington,2712.0,3.0,CO,71.0
316,147722.0,Weld,142040.0,4.0,CO,5682.0
317,5129.0,Yuma,4995.0,3.0,CO,134.0
319,481852.0,Fairfield,456134.0,5.0,CT,25718.0
320,474499.0,Hartford,446575.0,6.0,CT,27924.0
321,105607.0,Litchfield,100157.0,5.0,CT,5450.0
322,92262.0,Middlesex,87695.0,5.0,CT,4567.0
323,456601.0,New,428192.0,6.0,CT,28409.0
324,136999.0,New,128887.0,6.0,CT,8112.0
325,85126.0,Tolland,80888.0,5.0,CT,4238.0
326,62883.0,Windham,58905.0,6.0,CT,3978.0
328,76595.0,Kent,72470.0,5.0,DE,4125.0
329,292479.0,New,278738.0,5.0,DE,13741.0
330,98037.0,Sussex,93196.0,5.0,DE,4841.0
331,388057.0,District,361324.0,7.0,DC,26733.0
332,388057.0,District,361324.0,7.0,DC,26733.0
334,129509.0,Alachua,123529.0,5.0,FL,5980.0
335,11174.0,Baker,10549.0,6.0,FL,625.0
336,87546.0,Bay,82751.0,6.0,FL,4795.0
337,10746.0,Bradford,10226.0,5.0,FL,520.0
338,256470.0,Brevard,241082.0,6.0,FL,15388.0
339,988228.0,Broward,937544.0,5.0,FL,50684.0
340,4942.0,Calhoun,4639.0,6.0,FL,303.0
341,67666.0,Charlotte,63599.0,6.0,FL,4067.0
342,47816.0,Citrus,44217.0,8.0,FL,3599.0
343,98464.0,Clay,93493.0,5.0,FL,4971.0
344,163708.0,Collier,155094.0,5.0,FL,8614.0
345,28978.0,Columbia,27383.0,6.0,FL,1595.0
346,13379.0,DeSoto,12601.0,6.0,FL,778.0
347,5587.0,Dixie,5239.0,6.0,FL,348.0
348,460613.0,Duval,433842.0,6.0,FL,26771.0
349,138136.0,Escambia,130409.0,6.0,FL,7727.0
350,43676.0,Flagler,40928.0,6.0,FL,2748.0
351,4773.0,Franklin,4548.0,5.0,FL,225.0
352,18212.0,Gadsden,16900.0,7.0,FL,1312.0
353,6499.0,Gilchrist,6131.0,6.0,FL,368.0
354,4711.0,Glades,4374.0,7.0,FL,337.0
355,5995.0,Gulf,5680.0,5.0,FL,315.0
356,4522.0,Hamilton,4228.0,7.0,FL,294.0
357,10091.0,Hardee,9386.0,7.0,FL,705.0
358,15099.0,Hendry,13491.0,11.0,FL,1608.0
359,66100.0,Hernando,61502.0,7.0,FL,4598.0
360,35344.0,Highlands,32691.0,8.0,FL,2653.0
361,689381.0,Hillsborough,654510.0,5.0,FL,34871.0
362,6692.0,Holmes,6280.0,6.0,FL,412.0
363,61223.0,Indian,57023.0,7.0,FL,4200.0
364,17313.0,Jackson,16291.0,6.0,FL,1022.0
365,5375.0,Jefferson,5054.0,6.0,FL,321.0
366,3204.0,Lafayette,3057.0,5.0,FL,147.0
367,140801.0,Lake,133031.0,6.0,FL,7770.0
368,319381.0,Lee,302883.0,5.0,FL,16498.0
369,147573.0,Leon,140142.0,5.0,FL,7431.0
370,16448.0,Levy,15496.0,6.0,FL,952.0
371,2638.0,Liberty,2483.0,6.0,FL,155.0
372,7476.0,Madison,7016.0,6.0,FL,460.0
373,164899.0,Manatee,156532.0,5.0,FL,8367.0
374,130198.0,Marion,121727.0,7.0,FL,8471.0
375,69503.0,Martin,65768.0,5.0,FL,3735.0
376,1317053.0,Miami-Dade,1239626.0,6.0,FL,77427.0
377,45783.0,Monroe,44186.0,4.0,FL,1597.0
378,36565.0,Nassau,34682.0,5.0,FL,1883.0
379,91741.0,Okaloosa,87579.0,5.0,FL,4162.0
380,17249.0,Okeechobee,16162.0,6.0,FL,1087.0
381,686092.0,Orange,651611.0,5.0,FL,34481.0
382,157274.0,Osceola,148194.0,6.0,FL,9080.0
383,690937.0,Palm,655590.0,5.0,FL,35347.0
384,215394.0,Pasco,202727.0,6.0,FL,12667.0
385,470699.0,Pinellas,447351.0,5.0,FL,23348.0
386,279976.0,Polk,262248.0,6.0,FL,17728.0
387,27267.0,Putnam,25183.0,8.0,FL,2084.0
388,113384.0,St.,108908.0,4.0,FL,4476.0
389,131310.0,St.,122938.0,6.0,FL,8372.0
390,73970.0,Santa,70388.0,5.0,FL,3582.0
391,177827.0,Sarasota,168802.0,5.0,FL,9025.0
392,236649.0,Seminole,224989.0,5.0,FL,11660.0
393,28635.0,Sumter,26430.0,8.0,FL,2205.0
394,17937.0,Suwannee,16957.0,6.0,FL,980.0
395,8981.0,Taylor,8377.0,7.0,FL,604.0
396,4736.0,Union,4505.0,5.0,FL,231.0
397,238676.0,Volusia,224701.0,6.0,FL,13975.0
398,13960.0,Wakulla,13308.0,5.0,FL,652.0
399,27844.0,Walton,26534.0,5.0,FL,1310.0
400,9610.0,Washington,9038.0,6.0,FL,572.0
402,8673.0,Appling,8040.0,7.0,GA,633.0
403,3866.0,Atkinson,3644.0,6.0,GA,222.0
404,4896.0,Bacon,4615.0,6.0,GA,281.0
405,1124.0,Baker,1042.0,7.0,GA,82.0
406,17750.0,Baldwin,16391.0,8.0,GA,1359.0
407,8222.0,Banks,7764.0,6.0,GA,458.0
408,36122.0,Barrow,34224.0,5.0,GA,1898.0
409,46858.0,Bartow,44103.0,6.0,GA,2755.0
410,5477.0,Ben,4984.0,9.0,GA,493.0
411,7045.0,Berrien,6540.0,7.0,GA,505.0
412,67932.0,Bibb,63413.0,7.0,GA,4519.0
413,4372.0,Bleckley,3999.0,9.0,GA,373.0
414,6905.0,Brantley,6391.0,7.0,GA,514.0
415,6886.0,Brooks,6467.0,6.0,GA,419.0
416,16149.0,Bryan,15301.0,5.0,GA,848.0
417,34740.0,Bulloch,32636.0,6.0,GA,2104.0
418,9131.0,Burke,8390.0,8.0,GA,741.0
419,10126.0,Butts,9454.0,7.0,GA,672.0
420,2129.0,Calhoun,1997.0,6.0,GA,132.0
421,22305.0,Camden,21068.0,6.0,GA,1237.0
422,4967.0,Candler,4685.0,6.0,GA,282.0
423,51792.0,Carroll,48314.0,7.0,GA,3478.0
424,31376.0,Catoosa,29738.0,5.0,GA,1638.0
425,4768.0,Charlton,4463.0,6.0,GA,305.0
426,133266.0,Chatham,125482.0,6.0,GA,7784.0
427,2110.0,Chattahoochee,1925.0,9.0,GA,185.0
428,10553.0,Chattooga,9902.0,6.0,GA,651.0
429,120360.0,Cherokee,114736.0,5.0,GA,5624.0
430,57140.0,Clarke,53664.0,6.0,GA,3476.0
431,859.0,Clay,758.0,12.0,GA,101.0
432,126392.0,Clayton,116765.0,8.0,GA,9627.0
433,2774.0,Clinch,2579.0,7.0,GA,195.0
434,398319.0,Cobb,378139.0,5.0,GA,20180.0
435,17291.0,Coffee,16129.0,7.0,GA,1162.0
436,20053.0,Colquitt,18773.0,6.0,GA,1280.0
437,68650.0,Columbia,65209.0,5.0,GA,3441.0
438,7287.0,Cook,6801.0,7.0,GA,486.0
439,67859.0,Coweta,64257.0,5.0,GA,3602.0
440,5576.0,Crawford,5225.0,6.0,GA,351.0
441,9426.0,Crisp,8781.0,7.0,GA,645.0
442,7853.0,Dade,7423.0,6.0,GA,430.0
443,10945.0,Dawson,10387.0,5.0,GA,558.0
444,11394.0,Decatur,10620.0,7.0,GA,774.0
445,373115.0,DeKalb,350620.0,6.0,GA,22495.0
446,6957.0,Dodge,6374.0,8.0,GA,583.0
447,4759.0,Dooly,4400.0,8.0,GA,359.0
448,37879.0,Dougherty,34958.0,8.0,GA,2921.0
449,68340.0,Douglas,64014.0,6.0,GA,4326.0
450,4358.0,Early,4056.0,7.0,GA,302.0
451,1866.0,Echols,1779.0,5.0,GA,87.0
452,27172.0,Effingham,25783.0,5.0,GA,1389.0
453,7613.0,Elbert,7048.0,7.0,GA,565.0
454,8317.0,Emanuel,7590.0,9.0,GA,727.0
455,4663.0,Evans,4403.0,6.0,GA,260.0
456,10115.0,Fannin,9489.0,6.0,GA,626.0
457,54164.0,Fayette,51358.0,5.0,GA,2806.0
458,42982.0,Floyd,40115.0,7.0,GA,2867.0
459,104421.0,Forsyth,99689.0,5.0,GA,4732.0
460,9287.0,Franklin,8704.0,6.0,GA,583.0
461,514749.0,Fulton,483972.0,6.0,GA,30777.0
462,11723.0,Gilmer,11016.0,6.0,GA,707.0
463,1234.0,Glascock,1152.0,7.0,GA,82.0
464,37695.0,Glynn,35408.0,6.0,GA,2287.0
465,26154.0,Gordon,24611.0,6.0,GA,1543.0
466,10422.0,Grady,9796.0,6.0,GA,626.0
467,6827.0,Greene,6376.0,7.0,GA,451.0
468,452452.0,Gwinnett,429027.0,5.0,GA,23425.0
469,18818.0,Habersham,17743.0,6.0,GA,1075.0
470,92791.0,Hall,88284.0,5.0,GA,4507.0
471,2488.0,Hancock,2244.0,10.0,GA,244.0
472,11870.0,Haralson,11094.0,7.0,GA,776.0
473,15700.0,Harris,14878.0,5.0,GA,822.0
474,10402.0,Hart,9758.0,6.0,GA,644.0
475,4913.0,Heard,4597.0,6.0,GA,316.0
476,105040.0,Henry,98573.0,6.0,GA,6467.0
477,65689.0,Houston,61864.0,6.0,GA,3825.0
478,3134.0,Irwin,2872.0,8.0,GA,262.0
479,30748.0,Jackson,29261.0,5.0,GA,1487.0
480,6441.0,Jasper,6086.0,6.0,GA,355.0
481,6343.0,Jeff,5921.0,7.0,GA,422.0
482,6367.0,Jefferson,5792.0,9.0,GA,575.0
483,3104.0,Jenkins,2846.0,8.0,GA,258.0
484,3872.0,Johnson,3601.0,7.0,GA,271.0
485,13477.0,Jones,12734.0,6.0,GA,743.0
486,7682.0,Lamar,7092.0,8.0,GA,590.0
487,3782.0,Lanier,3530.0,7.0,GA,252.0
488,18642.0,Laurens,17235.0,8.0,GA,1407.0
489,14130.0,Lee,13379.0,5.0,GA,751.0
490,24973.0,Liberty,23396.0,6.0,GA,1577.0
491,3365.0,Lincoln,3138.0,7.0,GA,227.0
492,7086.0,Long,6670.0,6.0,GA,416.0
493,50366.0,Lowndes,47392.0,6.0,GA,2974.0
494,15321.0,Lumpkin,14494.0,5.0,GA,827.0
495,8786.0,McDuffie,8055.0,8.0,GA,731.0
496,5820.0,McIntosh,5442.0,7.0,GA,378.0
497,4617.0,Macon,4193.0,9.0,GA,424.0
498,12626.0,Madison,11926.0,6.0,GA,700.0
499,3445.0,Marion,3155.0,8.0,GA,290.0
