Unnamed: 0_x,State,County,Population_x,People 1/2 Mile and More,People 1 Mile and More,People 10 Miles and More,People 20 Miles and More,Unnamed: 0_y,Civilian labour force,Employed poulation,Unemployed population,Rate of Unemployment,Zipcode,Population_y,Unemployment Rate,% of Pop with no education,Latitude,Longitude
759,IN,Delaware,117671,95039.96132,56477.59017999999,0.0,0.0,732,54442.0,51339.0,3103.0,6.0,,,,,,
760,NY,Delaware,47980,38632.729510000005,33900.652989999995,1347.1318919999999,0.0,1876,19609.0,18435.0,1174.0,6.0,,,,,,
761,OH,Delaware,174214,156402.5346,113422.6946,0.0,0.0,2102,102340.0,98729.0,3611.0,4.0,,,,,,
762,OK,Delaware,41487,38989.44075,36030.208510000004,5498.052614,0.0,2191,17475.0,16609.0,866.0,5.0,,,,,,
763,PA,Delaware,558979,362935.2268,122322.7309,0.0,0.0,2308,291513.0,277251.0,14262.0,5.0,,,,,,
764,CO,Delta,30952,24628.24516,18664.10171,380.027245,0.00111265,269,13438.0,12670.0,768.0,6.0,,,,,,
765,MI,Delta,37069,27761.75134,21749.03071,3414.6525460000003,334.6387912,1277,17210.0,16042.0,1168.0,7.0,,,,,,
766,TX,Delta,5231,3915.5010399999996,3098.943304,377.2027916,0.0,2629,2592.0,2474.0,118.0,5.0,,,,,,
767,AK,Denali,1826,1826.000014,1826.000014,1826.000014,1826.000014,75,1072.0,978.0,94.0,9.0,,,,,,
768,MO,Dent,15657,13210.86428,10463.54997,2274.30024,6.654878653,1544,6301.0,5934.0,367.0,6.0,,,,,,
769,TX,Denton,662614,522904.47799999994,283291.4096,1037.2910550000001,0.0,2630,428166.0,412960.0,15206.0,4.0,,,,,,
770,CO,Denver,600158,361756.3789,98648.05986000001,0.0,0.0,270,375443.0,361592.0,13851.0,4.0,,,,,,
771,IA,Des Moines,40325,32049.65561,19765.23431,2215.604525,0.0,,,,,,,,,,,
772,OR,Deschutes,157733,121123.8145,73703.42392,765.5434744,64.02919149,2257,84757.0,79773.0,4984.0,6.0,,,,,,
773,AR,Desha,13008,11258.62822,7472.035689,1115.7260119999999,0.0,139,5547.0,5142.0,405.0,7.0,,,,,,
774,NE,Deuel,1941,1065.151491,943.7427096000001,520.520611,0.0,1709,1074.0,1047.0,27.0,3.0,,,,,,
775,SD,Deuel,4364,4363.999993,4363.999993,4237.4055530000005,1536.910425,2425,2306.0,2191.0,115.0,5.0,,,,,,
776,OK,Dewey,4810,4809.999999000001,4809.999999000001,4809.999999000001,3385.5823649999998,2192,2496.0,2406.0,90.0,4.0,,,,,,
