,County,People 1 Mile and More,People 1/2 Mile and More,People 10 Miles and More,People 20 Miles and More,Population,State
2644,Spokane,35030.34712,90329.98996,1524.188792,0.0,471221,WA
2645,Spotsylvania,13473.26913,19982.31126,915.7486007000001,0.0,122397,VA
2646,St. Bernard,7032.123449,10549.08916,481.1097444,20.85979831,35897,LA
2647,St. Charles,10861.11196,12832.3117,0.0,0.0,52780,LA
2648,St. Charles,25243.93492,47052.98691,2.816269812,0.0,360485,MO
2649,St. Clair,21268.59425,24296.19672,0.0,0.0,83593,AL
2650,St. Clair,45970.077639999996,71252.38656,0.0,0.0,270056,IL
2651,St. Clair,32956.24448,41592.64649,16.63139786,0.0,163040,MI
2652,St. Clair,3226.727921,3645.575347,349.01649310000005,0.0,9805,MO
2653,St. Croix,8710.131366,12248.86571,40.87349135,0.0,84345,WI
2654,St. Francis,11018.6534,12915.56916,410.9920272,0.0,28258,AR
2655,St. Francois,13125.453459999999,20243.51484,301.25995750000004,0.0,65359,MO
2656,St. Helena,5886.924052,5929.895122,448.265114,0.0,11203,LA
2657,St. James,3733.6129490000003,5470.01444,0.0,0.0,22102,LA
2658,St. John the Baptist,9492.563473,14149.584630000001,25.70560148,0.0,45924,LA
2659,St. Johns,23752.90755,34492.34683,388.3883754,0.0,190039,FL
2660,St. Joseph,28766.060210000003,64620.666639999996,1731.8255149999998,0.0,266931,IN
2661,St. Joseph,13069.155420000001,17639.01494,0.0,0.0,61295,MI
2662,St. Landry,19039.84205,28899.562260000002,1258.171482,0.0,83384,LA
2663,St. Lawrence,25887.19555,36128.26968,5050.418855,0.012423686000000001,111944,NY
2664,St. Louis City,15108.76339,86850.27342,0.0,0.0,319294,MO
2665,St. Louis,31213.01923,48406.67159,3420.621129,1058.42661,200226,MN
2666,St. Louis,52503.38875,161654.4638,0.0,0.0,998954,MO
2667,St. Lucie,38656.70237,76118.68783,30.4024922,0.0,277789,FL
2668,St. Martin,13530.96549,17663.42063,135.25430469999998,0.0,52160,LA
2669,St. Mary's,10856.9564,14190.90428,0.541850746,0.0,105151,MD
2670,St. Mary,10993.91839,19337.238419999998,131.1803898,0.0,54650,LA
2671,St. Tammany,32096.064789999997,48735.11308,0.085956356,0.0,233740,LA
2672,Stafford,1151.373347,1278.725859,455.0546948,0.0,4437,KS
2673,Stafford,7978.064356999999,12469.07282,0.0,0.0,128961,VA
2674,Stanislaus,39362.39927,118674.86099999999,220.42908140000003,0.0,514453,CA
